x	y
0	0
3	5510
6	18712
9	33268
12	52161
15	71882
18	90564
21	110366
24	129911
27	150143
30	169949
33	189821
36	209598
39	229708
42	250118
45	270125
48	290165
51	310419
54	330494
57	350707
60	370963
63	391109
66	411573
69	431596
72	451789
75	471974
78	491824
81	512020
84	532251
87	552284
90	572103
93	591948
96	612101
99	632237
102	652496
105	672723
108	692790
111	712916
114	732839
117	752750
120	772969
123	793268
126	813347
129	833575
132	853567
135	873616
138	893881
141	914244
144	934307
147	954352
150	974462
153	994758
156	1014727
159	1035276
162	1055889
165	1076686
168	1097751
171	1118624
174	1139260
177	1160044
180	1181006
183	1201896
186	1222863
189	1244045
192	1265081
195	1285973
198	1307036
201	1328144
204	1349266
207	1370547
210	1391336
213	1412446
216	1433466
219	1454540
222	1475493
225	1496410
228	1517354
231	1538403
234	1559655
237	1580654
240	1601489
243	1622340
246	1643206
249	1664241
252	1685065
255	1706032
258	1727023
261	1748141
264	1769182
267	1790329
270	1811323
273	1832261
276	1853474
279	1874399
282	1895274
285	1916070
288	1937189
291	1958219
294	1979153
297	2000172
300	2021304
303	2042366
306	2063410
309	2084464
312	2105350
315	2126499
318	2147432
321	2168398
324	2189375
327	2210416
330	2231043
333	2252129
336	2273157
339	2294217
342	2315090
345	2336056
348	2357311
351	2378363
354	2399387
357	2420406
360	2441581
363	2462772
366	2483611
369	2504481
372	2525556
375	2546505
378	2567641
381	2588793
384	2609777
387	2630563
390	2651711
393	2672781
396	2693759
399	2714875
402	2735738
405	2756651
408	2777897
411	2799106
414	2820111
417	2841050
420	2861941
423	2882960
426	2903885
429	2924819
432	2945835
435	2966909
438	2988002
441	3009176
444	3030083
447	3051063
450	3071799
453	3092688
456	3113506
459	3134113
462	3154394
465	3174659
468	3195170
471	3215458
474	3235650
477	3255678
480	3275830
483	3295679
486	3315937
489	3336158
492	3356433
495	3376747
498	3396908
501	3417369
504	3437215
507	3457568
510	3477956
513	3498125
516	3518549
519	3538823
522	3559202
525	3578938
528	3599139
531	3619208
534	3639610
537	3659824
540	3680042
543	3700347
546	3720661
549	3740723
552	3761045
555	3781085
558	3801190
561	3821473
564	3841689
567	3861792
570	3881702
573	3901896
576	3922180
579	3942501
582	3962752
585	3983146
588	4003316
591	4023397
594	4043347
597	4063601
600	4083822
