x	y
0	0
3	153
6	782
9	1480
12	2229
15	3065
18	3960
21	4826
24	5758
27	6716
30	7637
33	8654
36	9761
39	10794
42	11748
45	12699
48	13638
51	14246
54	14522
57	14798
60	15071
63	15377
66	15928
69	16622
72	17430
75	18208
78	19129
81	20012
84	20935
87	21842
90	22816
93	23748
96	24690
99	25651
102	26604
105	27577
108	28550
111	29503
114	30085
117	30364
120	30644
123	30921
126	31266
129	32026
132	32707
135	33521
138	34329
141	35207
144	36093
147	37002
150	37898
153	38833
156	39789
159	40745
162	41685
165	42627
168	43579
171	44523
174	45452
177	45888
180	46165
183	46442
186	46754
189	47306
192	48037
195	48820
198	49529
201	50388
204	51215
207	52105
210	53007
213	53905
216	54844
219	55800
222	56764
225	57692
228	58643
231	59598
234	60532
237	61420
240	61700
243	61977
246	62251
249	62615
252	63357
255	64033
258	64847
261	65542
264	66383
267	67236
270	68097
273	69032
276	69883
279	70832
282	71781
285	72723
288	73665
291	74611
294	75548
297	76480
300	77182
303	77457
306	77733
309	78040
312	78590
315	79329
318	80096
321	80822
324	81624
327	82351
330	83203
333	84068
336	84984
339	85856
342	86809
345	87760
348	88699
351	89645
354	90576
357	91505
360	92467
363	92955
366	93230
369	93505
372	93891
375	94651
378	95322
381	96122
384	96802
387	97609
390	98339
393	99189
396	100103
399	100981
402	101902
405	102798
408	103738
411	104670
414	105619
417	106549
420	107484
423	108432
426	108721
429	108997
432	109304
435	109853
438	110628
441	111367
444	112124
447	112882
450	113612
453	114428
456	115211
459	116148
462	116995
465	117932
468	118822
471	119772
474	120709
477	121661
480	122607
483	123536
486	124283
489	124559
492	124833
495	125258
498	126005
501	126685
504	127508
507	128167
510	128972
513	129658
516	130470
519	131262
522	132201
525	133083
528	133968
531	134881
534	135816
537	136776
540	137702
543	138654
546	139587
549	140115
552	140389
555	140703
558	141256
561	142058
564	142767
567	143551
570	144277
573	145035
576	145816
579	146534
582	147405
585	148279
588	149156
591	150046
594	150954
597	151901
600	152862
